epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.534,0.83017,2.11509,1.15309,0.79215,0.80327,0.88228,0.73999,0.64322,0.92842,1.01649,0.000133179,0.000133179,0.000133179
2,397.388,0.795,1.23446,1.12187,0.75833,0.86764,0.89723,0.77905,0.5909,0.79636,0.99846,0.000257718,0.000257718,0.000257718
3,584.911,0.78007,1.10653,1.12385,0.82092,0.9344,0.92592,0.79698,0.57598,0.67046,0.95306,0.000373456,0.000373456,0.000373456
4,773.645,0.74655,0.97679,1.11103,0.86918,0.93825,0.95628,0.83742,0.55301,0.56423,0.9672,0.0003604,0.0003604,0.0003604
5,963.054,0.71273,0.8863,1.09198,0.89182,0.93508,0.9446,0.83977,0.51204,0.51853,0.94537,0.0003472,0.0003472,0.0003472
6,1151.3,0.6833,0.805,1.08246,0.96409,0.94855,0.97999,0.88363,0.4768,0.40295,0.92005,0.000334,0.000334,0.000334
7,1340.96,0.65613,0.73294,1.06333,0.97171,0.97339,0.98746,0.89112,0.47585,0.36798,0.92377,0.0003208,0.0003208,0.0003208
8,1531.05,0.6362,0.6872,1.05147,0.9628,0.97333,0.98836,0.89881,0.45934,0.3589,0.91424,0.0003076,0.0003076,0.0003076
9,1721.1,0.61963,0.65701,1.04407,0.95059,0.97358,0.98769,0.90602,0.4357,0.34094,0.90343,0.0002944,0.0002944,0.0002944
10,1909.44,0.60572,0.61401,1.03771,0.97647,0.98357,0.9905,0.90646,0.4444,0.30588,0.90364,0.0002812,0.0002812,0.0002812
11,2098.98,0.59396,0.59025,1.03123,0.98593,0.9918,0.99294,0.91904,0.40987,0.26757,0.89307,0.000268,0.000268,0.000268
12,2290.37,0.59191,0.57468,1.03245,0.98507,0.9889,0.99265,0.91326,0.42872,0.27005,0.9062,0.0002548,0.0002548,0.0002548
13,2481.81,0.5752,0.54096,1.0215,0.98729,0.99169,0.99288,0.91296,0.43631,0.26342,0.90732,0.0002416,0.0002416,0.0002416
14,2674.31,0.56896,0.51944,1.0165,0.99124,0.99631,0.99328,0.92337,0.41193,0.23929,0.8927,0.0002284,0.0002284,0.0002284
15,2861.48,0.56305,0.49824,1.01763,0.97802,0.98199,0.99,0.91565,0.41153,0.26473,0.89415,0.0002152,0.0002152,0.0002152
16,3051.77,0.55534,0.49441,1.01116,0.98931,0.99613,0.9923,0.92626,0.40159,0.22751,0.87585,0.000202,0.000202,0.000202
17,3245.52,0.54554,0.48003,1.01019,0.99153,0.98939,0.99156,0.92489,0.40415,0.23296,0.87987,0.0001888,0.0001888,0.0001888
18,3433.52,0.53941,0.45933,0.99958,0.98951,0.99461,0.99303,0.92816,0.3997,0.22389,0.87717,0.0001756,0.0001756,0.0001756
19,3618.51,0.52876,0.44423,0.99827,0.99471,0.99397,0.99331,0.93013,0.39893,0.21248,0.88523,0.0001624,0.0001624,0.0001624
20,3802.53,0.5225,0.42983,0.98897,0.99192,0.99471,0.99316,0.93222,0.39111,0.21603,0.87646,0.0001492,0.0001492,0.0001492
21,4017.48,0.39769,0.24475,0.89606,0.99459,0.99329,0.99291,0.93073,0.39518,0.21622,0.87347,0.000136,0.000136,0.000136
22,4202.99,0.39281,0.23844,0.89508,0.99411,0.996,0.99368,0.93503,0.38664,0.20123,0.87015,0.0001228,0.0001228,0.0001228
23,4389.6,0.38057,0.22238,0.88708,0.99396,0.99673,0.99379,0.93573,0.3791,0.19768,0.8637,0.0001096,0.0001096,0.0001096
24,4577.53,0.37518,0.21786,0.89091,0.99507,0.99692,0.99324,0.93423,0.37996,0.19365,0.87199,9.64e-05,9.64e-05,9.64e-05
25,4768.79,0.37001,0.20907,0.887,0.99375,0.99574,0.99339,0.93668,0.37798,0.18887,0.86318,8.32e-05,8.32e-05,8.32e-05
26,4957.41,0.36086,0.20056,0.87201,0.99536,0.99758,0.99266,0.93793,0.37139,0.18236,0.85725,7e-05,7e-05,7e-05
27,5140.66,0.35466,0.19274,0.87106,0.99503,0.99662,0.99261,0.94224,0.36829,0.1773,0.86284,5.68e-05,5.68e-05,5.68e-05
28,5328.99,0.35045,0.18377,0.86801,0.99464,0.99639,0.99247,0.94359,0.36328,0.17418,0.85452,4.36e-05,4.36e-05,4.36e-05
29,5518.82,0.34231,0.1794,0.86376,0.99556,0.99703,0.99309,0.9437,0.3602,0.16886,0.85156,3.04e-05,3.04e-05,3.04e-05
30,5709.84,0.33535,0.17146,0.86228,0.99564,0.9975,0.99331,0.94462,0.35579,0.16472,0.84971,1.72e-05,1.72e-05,1.72e-05
