epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.7558,0.97555,4.09725,1.22619,0.39146,0.50489,0.45378,0.37492,0.68868,1.86881,1.03345,0.00331746,0.00331746,0.00331746
2,121.85,0.87934,2.61309,1.10782,0.59912,0.67273,0.71936,0.58365,0.73546,1.53032,1.04274,0.00658495,0.00658495,0.00658495
3,177.503,0.89057,2.10168,1.09358,0.33068,0.45794,0.39379,0.29271,1.11473,2.54905,1.28978,0.00978644,0.00978644,0.00978644
4,233.103,0.93677,1.86491,1.10676,0.64618,0.36683,0.42544,0.30191,1.27022,3.61512,1.52854,0.009703,0.009703,0.009703
5,287.625,0.87424,1.44761,1.0656,0.78873,0.86759,0.89708,0.7544,0.64317,0.85137,0.954,0.009604,0.009604,0.009604
6,342.433,0.82452,1.20228,1.04064,0.75018,0.74508,0.82062,0.69412,0.65247,1.15758,0.95714,0.009505,0.009505,0.009505
7,397.928,0.7895,1.06772,1.0232,0.84787,0.80835,0.87382,0.73632,0.67125,0.89525,0.96762,0.009406,0.009406,0.009406
8,452.132,0.76643,0.96524,1.00975,0.89844,0.90398,0.9603,0.84422,0.54608,0.61305,0.88668,0.009307,0.009307,0.009307
9,505.988,0.74549,0.90025,1.00129,0.92889,0.94016,0.97523,0.86021,0.52162,0.47891,0.8812,0.009208,0.009208,0.009208
10,559.865,0.72139,0.83147,0.99199,0.90419,0.87979,0.94832,0.81623,0.59331,0.58506,0.92548,0.009109,0.009109,0.009109
11,613.865,0.70388,0.80227,0.98419,0.87824,0.91953,0.95401,0.84341,0.52702,0.55967,0.88057,0.00901,0.00901,0.00901
12,669.078,0.69588,0.76394,0.97941,0.9369,0.96726,0.98688,0.88811,0.4813,0.38944,0.86652,0.008911,0.008911,0.008911
13,724.799,0.6834,0.7368,0.97368,0.93079,0.899,0.96823,0.86364,0.52089,0.51197,0.87509,0.008812,0.008812,0.008812
14,780.237,0.66878,0.709,0.97206,0.95897,0.95548,0.98239,0.88462,0.47618,0.37405,0.86082,0.008713,0.008713,0.008713
15,836.089,0.6691,0.6948,0.97317,0.95875,0.95772,0.98273,0.88822,0.47706,0.36542,0.86895,0.008614,0.008614,0.008614
16,891.946,0.65677,0.66894,0.96753,0.91846,0.89084,0.96122,0.85755,0.51467,0.49831,0.87863,0.008515,0.008515,0.008515
17,948.694,0.65383,0.65664,0.9634,0.96665,0.97296,0.99159,0.90885,0.43931,0.31041,0.85039,0.008416,0.008416,0.008416
18,1005.05,0.64048,0.6317,0.95998,0.98378,0.98656,0.9924,0.90571,0.45598,0.29906,0.85595,0.008317,0.008317,0.008317
19,1060.94,0.63396,0.62011,0.95776,0.97795,0.98621,0.99067,0.90487,0.4457,0.28757,0.85265,0.008218,0.008218,0.008218
20,1116.87,0.62924,0.59914,0.95837,0.92524,0.91398,0.96339,0.86193,0.50381,0.46208,0.87665,0.008119,0.008119,0.008119
21,1173.01,0.62677,0.60203,0.95964,0.9823,0.98906,0.9925,0.90647,0.45425,0.2785,0.85125,0.00802,0.00802,0.00802
22,1229.33,0.6272,0.59898,0.95746,0.9814,0.97809,0.98952,0.9073,0.43462,0.28944,0.84775,0.007921,0.007921,0.007921
23,1285.51,0.62052,0.58554,0.95609,0.9777,0.9816,0.99121,0.91339,0.42812,0.2803,0.84251,0.007822,0.007822,0.007822
24,1341.27,0.61253,0.57526,0.95099,0.97801,0.96914,0.99107,0.91017,0.43475,0.28801,0.84415,0.007723,0.007723,0.007723
25,1396.77,0.60579,0.56167,0.94908,0.96785,0.97865,0.98951,0.91292,0.43023,0.27968,0.84249,0.007624,0.007624,0.007624
26,1452.05,0.59779,0.55105,0.94485,0.9841,0.99079,0.99238,0.91713,0.42775,0.25986,0.84341,0.007525,0.007525,0.007525
27,1507.67,0.5961,0.54888,0.94698,0.99123,0.99399,0.99313,0.91673,0.4301,0.24479,0.84764,0.007426,0.007426,0.007426
28,1563.73,0.6006,0.5472,0.94928,0.98843,0.98291,0.99286,0.91568,0.42873,0.25597,0.84346,0.007327,0.007327,0.007327
29,1619.24,0.59342,0.53292,0.9461,0.98583,0.98691,0.993,0.91923,0.41582,0.24809,0.83864,0.007228,0.007228,0.007228
30,1674.28,0.5875,0.51802,0.94303,0.98881,0.99301,0.99337,0.92249,0.42184,0.23562,0.84199,0.007129,0.007129,0.007129
31,1729.26,0.5866,0.51836,0.94092,0.99162,0.98725,0.9924,0.91371,0.42536,0.23557,0.84256,0.00703,0.00703,0.00703
32,1783.32,0.58679,0.5096,0.9413,0.9901,0.98922,0.99229,0.91711,0.42713,0.23657,0.84154,0.006931,0.006931,0.006931
33,1837.41,0.58077,0.50602,0.94016,0.99025,0.99171,0.99261,0.9137,0.42928,0.23788,0.84434,0.006832,0.006832,0.006832
34,1891.29,0.57999,0.50764,0.94514,0.99108,0.99187,0.99293,0.91992,0.41752,0.23281,0.83772,0.006733,0.006733,0.006733
35,1945.01,0.57735,0.49608,0.93852,0.99178,0.99075,0.99293,0.92375,0.40921,0.22435,0.83674,0.006634,0.006634,0.006634
36,1998.82,0.57098,0.48588,0.93858,0.99386,0.99258,0.99303,0.92514,0.40357,0.21653,0.8343,0.006535,0.006535,0.006535
37,2052.65,0.56888,0.4883,0.93772,0.99386,0.99588,0.99283,0.92617,0.40434,0.21499,0.83433,0.006436,0.006436,0.006436
38,2107.11,0.5654,0.4786,0.93658,0.99286,0.99137,0.99243,0.92792,0.39912,0.21779,0.83342,0.006337,0.006337,0.006337
39,2161.36,0.55903,0.47208,0.93068,0.99108,0.99401,0.99311,0.92689,0.4019,0.21721,0.83376,0.006238,0.006238,0.006238
40,2215.8,0.5619,0.47287,0.93507,0.99446,0.99619,0.99283,0.93019,0.39208,0.20163,0.82898,0.006139,0.006139,0.006139
41,2269.81,0.55759,0.45858,0.93294,0.99081,0.99275,0.99218,0.92888,0.39123,0.21356,0.82927,0.00604,0.00604,0.00604
